Compound,"B, cm3/mol^-1","T, K",,,,,
Chloroethane,-132,561.8,,,,,
Chloroethane,-108,603.4,,,,,
Chloroethane,-106,604.8,,,,,
Fluoroethane,-401.2,290,,,,,
Fluoroethane,-370.7,300,,,,,
Fluoroethane,-340.8,310,,,,,
Ethane,-498,191.86,,,,,
Ethane,-487,193.65,,,,,
Ethane,-422,199.4,,,,,
Ethane,-419.2,200,,,,,
Ethane,-446,201.61,,,,,
Ethane,-443,202.17,,,,,
Ethane,-368.7,209.53,,,,,
Ethane,-374,210.8,,,,,
Ethane,-404,211.33,,,,,
Ethane,-395,213.34,,,,,
Ethane,-340.6,215,,,,,
Ethane,-360,222.58,,,,,
Ethane,-322.5,223.41,,,,,
Ethane,-354,224.5,,,,,
Ethane,-328.4,225,,,,,
Ethane,-313,231.4,,,,,
Ethane,-325,233.41,,,,,
Ethane,-316,236.67,,,,,
Ethane,-278.1,238.77,,,,,
Ethane,-281,239.77,,,,,
Ethane,-276.5,240,,,,,
Ethane,-293,244.7,,,,,
Ethane,-287,247,,,,,
Ethane,-264.9,250,,,,,
Ethane,-262,251.2,,,,,
Ethane,-252.3,254.81,,,,,
Ethane,-258.6,256.71,,,,,
Ethane,-259,256.71,,,,,
Ethane,-262,257.09,,,,,
Ethane,-258,259.03,,,,,
Ethane,-240.2,259.87,,,,,
Ethane,-214,269.19,,,,,
Ethane,-214,269.19,,,,,
Ethane,-221.5,273.15,,,,,
Ethane,-223.4,273.15,,,,,
Ethane,-222.2,273.15,,,,,
Ethane,-219.4,273.15,,,,,
Ethane,-222,273.15,,,,,
Ethane,-223,273.16,,,,,
Ethane,-222.2,273.16,,,,,
Ethane,-222.8,273.16,,,,,
Ethane,-227.5,273.2,,,,,
Ethane,-221.5,273.2,,,,,
Ethane,-221.4,273.2,,,,,
Ethane,-218,275,,,,,
Ethane,-206.8,280.45,,,,,
Ethane,-198.7,282.84,,,,,
Ethane,-201,282.84,,,,,
Ethane,-203.3,288.2,,,,,
Ethane,-195.7,290,,,,,
Ethane,-220,291.95,,,,,
Ethane,-191.1,293.15,,,,,
Ethane,-194.1,293.15,,,,,
Ethane,-194.1,293.15,,,,,
Ethane,-190.9,293.2,,,,,
Ethane,-204,294.27,,,,,
Ethane,-191.5,296,,,,,
Ethane,-188,296.1,,,,,
Ethane,-185.6,298.14,,,,,
Ethane,-185.8,298.15,,,,,
Ethane,-185.4,298.15,,,,,
Ethane,-185.8,298.15,,,,,
Ethane,-185.7,298.15,,,,,
Ethane,-185.8,298.15,,,,,
Ethane,-185.7,298.15,,,,,
Ethane,-185.7,298.15,,,,,
Ethane,-184.2,298.15,,,,,
Ethane,-191,298.16,,,,,
Ethane,-187,298.16,,,,,
Ethane,-190.5,298.16,,,,,
Ethane,-184.9,298.16,,,,,
Ethane,-187.1,298.16,,,,,
Ethane,-184.7,298.2,,,,,
Ethane,-183.6,298.2,,,,,
Ethane,-184.4,298.32,,,,,
Ethane,-184,298.32,,,,,
Ethane,-184.4,298.35,,,,,
Ethane,-181,298.35,,,,,
Ethane,-190,299.3,,,,,
Ethane,-195,299.83,,,,,
Ethane,-182.6,300,,,,,
Ethane,-182.1,300,,,,,
Ethane,-182.7,300,,,,,
Ethane,-180.2,300.48,,,,,
Ethane,-190,301.39,,,,,
Ethane,-175.8,303.15,,,,,
Ethane,-179.4,303.15,,,,,
Ethane,-178.9,303.15,,,,,
Ethane,-181.5,303.2,,,,,
Ethane,-185.3,305.38,,,,,
Ethane,-177.2,305.45,,,,,
Ethane,-177,305.45,,,,,
Ethane,-175.3,306.06,,,,,
Ethane,-172,307.6,,,,,
Ethane,-168.9,310,,,,,
Ethane,-164.9,310.94,,,,,
Ethane,-180.1,310.94,,,,,
Ethane,-165.8,310.94,,,,,
Ethane,-171.4,311.1,,,,,
Ethane,-171.4,311.1,,,,,
Ethane,-166.6,312.45,,,,,
Ethane,-168.4,313.2,,,,,
Ethane,-166.3,313.2,,,,,
Ethane,-176.3,316.49,,,,,
Ethane,-190,319.25,,,,,
Ethane,-159.4,320,,,,,
Ethane,-159.3,320,,,,,
Ethane,-156.9,322.75,,,,,
Ethane,-155.1,322.96,,,,,
Ethane,-155.3,322.96,,,,,
Ethane,-156.1,323.1,,,,,
Ethane,-146.4,323.15,,,,,
Ethane,-144.8,323.15,,,,,
Ethane,-156.7,323.15,,,,,
Ethane,-156.2,323.15,,,,,
Ethane,-156.1,323.15,,,,,
Ethane,-156.3,323.15,,,,,
Ethane,-160,323.16,,,,,
Ethane,-157,323.16,,,,,
Ethane,-159.3,323.16,,,,,
Ethane,-157.8,323.16,,,,,
Ethane,-158.3,323.16,,,,,
Ethane,-157.7,323.2,,,,,
Ethane,-154.2,323.2,,,,,
Ethane,-157,324.05,,,,,
Ethane,-153.8,325,,,,,
Ethane,-162.8,327.6,,,,,
Ethane,-140,329.45,,,,,
Ethane,-148.7,330.17,,,,,
Ethane,-139.9,333.15,,,,,
Ethane,-146.1,333.2,,,,,
Ethane,-144.3,333.6,,,,,
Ethane,-170,341.35,,,,,
Ethane,-135.3,343.15,,,,,
Ethane,-132.5,344.27,,,,,
Ethane,-144.2,344.27,,,,,
Ethane,-134.2,344.27,,,,,
Ethane,-137,344.49,,,,,
Ethane,-137,344.49,,,,,
Ethane,-132,345.03,,,,,
Ethane,-133.3,347.65,,,,,
Ethane,-125,348.15,,,,,
Ethane,-133,348.15,,,,,
Ethane,-132.5,348.15,,,,,
Ethane,-132.4,348.15,,,,,
Ethane,-132.8,348.15,,,,,
Ethane,-139,348.16,,,,,
Ethane,-136.9,348.16,,,,,
Ethane,-135,348.16,,,,,
Ethane,-134.9,348.2,,,,,
Ethane,-131.3,348.2,,,,,
Ethane,-130.8,350,,,,,
Ethane,-140,350.75,,,,,
Ethane,-130.9,350.76,,,,,
Ethane,-132.6,353.2,,,,,
Ethane,-126.2,353.4,,,,,
Ethane,-128.8,356.2,,,,,
Ethane,-121.5,358.15,,,,,
Ethane,-125,360.94,,,,,
Ethane,-115.8,363.15,,,,,
Ethane,-117,365.46,,,,,
Ethane,-107.1,372.38,,,,,
Ethane,-107.1,372.38,,,,,
Ethane,-114.1,372.52,,,,,
Ethane,-111,373.15,,,,,
Ethane,-113.6,373.15,,,,,
Ethane,-113.1,373.15,,,,,
Ethane,-111.4,373.15,,,,,
Ethane,-113.5,373.15,,,,,
Ethane,-122,373.16,,,,,
Ethane,-118.6,373.16,,,,,
Ethane,-115.5,373.16,,,,,
Ethane,-115.5,373.2,,,,,
Ethane,-111.1,373.2,,,,,
Ethane,-111.9,373.7,,,,,
Ethane,-111.9,375,,,,,
Ethane,-110,377.6,,,,,
Ethane,-110.9,377.6,,,,,
Ethane,-109.8,377.6,,,,,
Ethane,-105.3,383.15,,,,,
Ethane,-104.3,392.8,,,,,
Ethane,-98.3,393.15,,,,,
Ethane,-99.6,394.05,,,,,
Ethane,-99.6,394.05,,,,,
Ethane,-98.7,394.2,,,,,
Ethane,-93,394.27,,,,,
Ethane,-97.7,397.84,,,,,
Ethane,-103.3,398.15,,,,,
Ethane,-97.3,398.15,,,,,
Ethane,-96.8,398.15,,,,,
Ethane,-98,398.15,,,,,
Ethane,-97.3,398.15,,,,,
Ethane,-108,398.16,,,,,
Ethane,-102.3,398.16,,,,,
Ethane,-99.7,398.16,,,,,
Ethane,-99.3,398.2,,,,,
Ethane,-94.9,398.2,,,,,
Ethane,-90.4,410.94,,,,,
Ethane,-89.9,410.94,,,,,
Ethane,-89.1,413.15,,,,,
Ethane,-88.1,413.6,,,,,
Ethane,-83.9,422.7,,,,,
Ethane,-83.5,423.15,,,,,
Ethane,-83.6,423.15,,,,,
Ethane,-83.1,423.15,,,,,
Ethane,-85.7,423.15,,,,,
Ethane,-83.9,423.15,,,,,
Ethane,-86.3,423.15,,,,,
Ethane,-94.9,423.16,,,,,
Ethane,-88.6,423.16,,,,,
Ethane,-85.5,423.16,,,,,
Ethane,-84.9,423.2,,,,,
Ethane,-85,432.1,,,,,
Ethane,-78.4,433.8,,,,,
Ethane,-74.2,444.27,,,,,
Ethane,-73,444.27,,,,,
Ethane,-71.7,448.15,,,,,
Ethane,-71.1,448.15,,,,,
Ethane,-72.4,448.15,,,,,
Ethane,-72,448.15,,,,,
Ethane,-86.1,448.16,,,,,
Ethane,-78,448.16,,,,,
Ethane,-69.1,453.6,,,,,
Ethane,-68,472.3,,,,,
Ethane,-61.5,473.15,,,,,
Ethane,-60.7,473.15,,,,,
Ethane,-62.4,473.15,,,,,
Ethane,-61.8,473.15,,,,,
Ethane,-77.9,473.16,,,,,
Ethane,-71.1,473.16,,,,,
Ethane,-62.6,473.8,,,,,
Ethane,-59.9,477.6,,,,,
Ethane,-58.7,477.6,,,,,
Ethane,-54.1,493.3,,,,,
Ethane,-52.4,498.15,,,,,
Ethane,-51.7,498.15,,,,,
Ethane,-71.9,498.16,,,,,
Ethane,-63.6,498.16,,,,,
Ethane,-54.5,510.6,,,,,
Ethane,-47.4,510.94,,,,,
Ethane,-46.2,510.94,,,,,
Ethane,-44.5,523.15,,,,,
Ethane,-43.5,523.15,,,,,
Ethane,-60,523.16,,,,,
Ethane,-56.5,523.16,,,,,
Ethane,-37.3,548.15,,,,,
Ethane,-36.3,548.15,,,,,
Ethane,-30.9,573.15,,,,,
Ethane,-29.6,573.15,,,,,
Ethane,-25,598.15,,,,,
Ethane,-23.4,598.15,,,,,
Ethane,-19.6,623.15,,,,,
Ethane,-17.9,623.15,,,,,
Dimethyl ether,-613.9,273.15,,,,,
Dimethyl ether,-531,283.25,,,,,
Dimethyl ether,-542,283.25,,,,,
Dimethyl ether,-589,283.25,,,,,
Dimethyl ether,-591,283.25,,,,,
Dimethyl ether,-499.6,294.15,,,,,
Dimethyl ether,-446.1,298.15,,,,,
Dimethyl ether,-489,298.15,,,,,
Dimethyl ether,-456,298.15,,,,,
Dimethyl ether,-457,303.15,,,,,
Dimethyl ether,-466,303.15,,,,,
Dimethyl ether,-513,303.15,,,,,
Dimethyl ether,-515,303.15,,,,,
Dimethyl ether,-421.2,313.15,,,,,
Dimethyl ether,-405,313.15,,,,,
Dimethyl ether,-405,323.15,,,,,
Dimethyl ether,-411,323.15,,,,,
Dimethyl ether,-505,323.15,,,,,
Dimethyl ether,-508,323.15,,,,,
Dimethyl ether,-392,323.15,,,,,
Dimethyl ether,-368,328.15,,,,,
Dimethyl ether,-343,348.15,,,,,
Dimethyl ether,-306,373.15,,,,,
Ethanol,-2210,308.15,,,,,
Ethanol,-2134,313.15,,,,,
Ethanol,-1285,333.15,,,,,
Ethanol,-1522,333.2,,,,,
Ethanol,-1266,333.9,,,,,
Ethanol,-1185,338.1,,,,,
Ethanol,-1336,343.15,,,,,
Ethanol,-1331,343.15,,,,,
Ethanol,-1086,343.9,,,,,
Ethanol,-1051,348.34,,,,,
Ethanol,-938,353.15,,,,,
Ethanol,-1021,353.15,,,,,
Ethanol,-1023,353.15,,,,,
Ethanol,-941,353.2,,,,,
Ethanol,-942,353.9,,,,,
Ethanol,-990,360,,,,,
Ethanol,-866,360.91,,,,,
Ethanol,-878,363.15,,,,,
Ethanol,-863,363.15,,,,,
Ethanol,-826,363.8,,,,,
Ethanol,-832,365.27,,,,,
Ethanol,-736,370.32,,,,,
Ethanol,-860,371,,,,,
Ethanol,-965,373.07,,,,,
Ethanol,-723,373.15,,,,,
Ethanol,-687,373.2,,,,,
Ethanol,-702,376.57,,,,,
Ethanol,-630,383.94,,,,,
Ethanol,-625,388.17,,,,,
Ethanol,-603,389.6,,,,,
Ethanol,-596,390.07,,,,,
Ethanol,-578,393.15,,,,,
Ethanol,-586,393.3,,,,,
Ethanol,-552,395.8,,,,,
Ethanol,-569,398.15,,,,,
Ethanol,-583,400.81,,,,,
Ethanol,-600,402,,,,,
Ethanol,-484,412.2,,,,,
Ethanol,-466,412.52,,,,,
Ethanol,-463,413.82,,,,,
Ethanol,-463,415.31,,,,,
Ethanol,-467,415.36,,,,,
Ethanol,-378,423.15,,,,,
Ethanol,-510,424,,,,,
Ethanol,-375,439.24,,,,,
Ethanol,-356,443.81,,,,,
Ethanol,-355,443.92,,,,,
Ethanol,-280,448.15,,,,,
Ethanol,-440,449,,,,,
Ethanol,-337,450.43,,,,,
Ethanol,-286,469.66,,,,,
Ethanol,-196,473.15,,,,,
Ethanol,-370,474,,,,,
Ethanol,-278,477.19,,,,,
Ethanol,-257,486.4,,,,,
Ethanol,-258,486.6,,,,,
Ethanol,-230,502.63,,,,,
Ethanol,-224,506.97,,,,,
Ethanol,-211,517.33,,,,,
Ethanol,-175,546.4,,,,,
Ethanol,-165,551.42,,,,,
Ethanethiol,-1066,281.16,,,,,
Ethanethiol,-897,298.16,,,,,
Ethanethiol,-839,308.16,,,,,
2-Thiapropane,-1101,275.85,,,,,
2-Thiapropane,-917,292.03,,,,,
2-Thiapropane,-906,299.15,,,,,
2-Thiapropane,-796,310.5,,,,,
2-Thiapropane,-660,339.15,,,,,
"2,3-Dithiabutane",-1331,340.8,,,3-Dithiabutane;-1331;340.8,,
"2,3-Dithiabutane",-1208,360.4,,,3-Dithiabutane;-1208;360.4,,
"2,3-Dithiabutane",-1030,382.9,,,3-Dithiabutane;-1030;382.9,,
Ethanamine,-821,293.4,,,,,
Ethanamine,-681,315,,,,,
Ethanamine,-623,323.8,,,,,
Ethanamine,-588,333,,,,,
Ethanamine,-547,343.3,,,,,
Ethanamine,-529,351,,,,,
Ethanamine,-461,363.4,,,,,
Ethanamine,-432,373.8,,,,,
Ethanamine,-408,383.6,,,,,
Ethanamine,-387,393,,,,,
Ethanamine,-345,405.2,,,,,
N-Methylmethanamine,-610,308.15,,,,,
N-Methylmethanamine,-596,312.4,,,,,
N-Methylmethanamine,-563,320.8,,,,,
N-Methylmethanamine,-505,332.2,,,,,
N-Methylmethanamine,-478,342.4,,,,,
N-Methylmethanamine,-460,350.8,,,,,
N-Methylmethanamine,-404,364.6,,,,,
N-Methylmethanamine,-389,374.6,,,,,
N-Methylmethanamine,-359,383.4,,,,,
N-Methylmethanamine,-337,394.3,,,,,
N-Methylmethanamine,-309,405.2,,,,,
Ethanedinitrile,-352,308.16,,,,,
Ethanedinitrile,-316.2,323.16,,,,,
Ethanedinitrile,-262.5,348.16,,,,,
Ethanedinitrile,-216.7,373.16,,,,,
Ethanedinitrile,-210.8,373.16,,,,,
Ethanedinitrile,-174.9,398.16,,,,,
Ethanedinitrile,-147.2,423.16,,,,,
"2,2,4,4,5,5-Hexafluoro-1,3-dioxolane",-2430,308.21,,,2,4,
"2,2,4,4,5,5-Hexafluoro-1,3-dioxolane",-1330,343.35,,,2,4,
"2,2,4,4,5,5-Hexafluoro-1,3-dioxolane",-1050,357.42,,,2,4,
"2,2,4,4,5,5-Hexafluoro-1,3-dioxolane",-1180,366.72,,,2,4,
Octafluoropropane,-998,236,,,,,
Octafluoropropane,-435,323.15,,,,,
Octafluoropropane,-290,373.15,,,,,
"1,1,1,2,3,3,3-Heptafluoropropane",-4200,357.39,,,1,1,
"1,1,1,2,3,3,3-Heptafluoropropane",-314.2,393.03,,,1,1,
"1,1,1,2,3,3,3-Heptafluoropropane",-265.9,423.24,,,1,1,
"1,1,1,2,2,3,3-Heptafluoropropane",-788,283.25,,,1,1,
"1,1,1,2,2,3,3-Heptafluoropropane",-759,283.25,,,1,1,
"1,1,1,2,2,3,3-Heptafluoropropane",-765,283.25,,,1,1,
"1,1,1,2,2,3,3-Heptafluoropropane",-766,283.25,,,1,1,
"1,1,1,2,2,3,3-Heptafluoropropane",-674,303.15,,,1,1,
"1,1,1,2,2,3,3-Heptafluoropropane",-653,303.15,,,1,1,
"1,1,1,2,2,3,3-Heptafluoropropane",-789,303.15,,,1,1,
"1,1,1,2,2,3,3-Heptafluoropropane",-781,303.15,,,1,1,
"1,1,1,2,2,3,3-Heptafluoropropane",-577,323.15,,,1,1,
"1,1,1,2,2,3,3-Heptafluoropropane",-561,323.15,,,1,1,
"1,1,1,2,2,3,3-Heptafluoropropane",-626,323.15,,,1,1,
"1,1,1,2,2,3,3-Heptafluoropropane",-632,323.15,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-1033,267,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-1031.8,267.15,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-946,277,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-938.8,277.84,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-868,287,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-856,288.7,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-799,297,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-784.6,299.3,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-738,307,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-682,317,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-662.9,320.76,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-632,327,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-587,337,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-567.4,340,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-563.8,342.43,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-545,347,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-528.7,350,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-511,356.04,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-507,357,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-493.3,360,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-473,367,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-460.5,370,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-441.1,376.9,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-441,377,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-431,380,,,1,1,
"1,1,1,2,3,3-Hexafluoropropane",-405,390,,,1,1,
"1,1,2,2,3-Pentafluoropropane",-817.7,311.37,,,1,2,
"1,1,2,2,3-Pentafluoropropane",-710.3,329.43,,,1,2,
"1,1,2,2,3-Pentafluoropropane",-615,350.01,,,1,2,
"1,1,2,2,3-Pentafluoropropane",-535.9,370,,,1,2,
"1,1,2,2,3-Pentafluoropropane",-439.6,399.96,,,1,2,
1-Propyne,-287.8,348.15,,,,,
1-Propyne,-288.2,348.16,,,,,
1-Propyne,-244,373.15,,,,,
1-Propyne,-243.1,373.16,,,,,
1-Propyne,-210,398.15,,,,,
1-Propyne,-208.4,398.16,,,,,
1-Propyne,-203.6,402.4,,,,,
1-Propyne,-201.6,402.41,,,,,
1-Propyne,-196,408.15,,,,,
1-Propyne,-195.6,408.16,,,,,
1-Propyne,-191.1,413.15,,,,,
1-Propyne,-191.7,413.16,,,,,
1-Propyne,-186,418.15,,,,,
1-Propyne,-185.9,418.16,,,,,
1-Propyne,-182.8,423.15,,,,,
1-Propyne,-182.5,423.16,,,,,
1-Propyne,-161.3,448.15,,,,,
1-Propyne,-162.8,448.16,,,,,
1-Propyne,-144,473.15,,,,,
1-Propyne,-148.3,473.16,,,,,
"1,2-Propadiene",-710.5,222.65,,,2-Propadiene;-710.5;222.65,,
"1,2-Propadiene",-616.1,237.15,,,2-Propadiene;-616.1;237.15,,
"1,2-Propadiene",-443.5,273.15,,,2-Propadiene;-443.5;273.15,,
"1,2-Propadiene",-447,273.15,,,2-Propadiene;-447;273.15,,
"1,2-Propadiene",-396.8,293.16,,,2-Propadiene;-396.8;293.16,,
"1,2-Propadiene",-371.8,303.16,,,2-Propadiene;-371.8;303.16,,
"1,2-Propadiene",-351.4,313.15,,,2-Propadiene;-351.4;313.15,,
"1,2-Propadiene",-324.8,323.16,,,2-Propadiene;-324.8;323.16,,
"1,2-Propadiene",-306.8,333.16,,,2-Propadiene;-306.8;333.16,,
"1,2-Propadiene",-260.9,343.15,,,2-Propadiene;-260.9;343.15,,
"1,2-Propadiene",-283.7,343.16,,,2-Propadiene;-283.7;343.16,,
"1,2-Propadiene",-266.9,353.16,,,2-Propadiene;-266.9;353.16,,
3-Bromo-1-propene,-1063,317.95,,,,,
3-Bromo-1-propene,-1042,329.75,,,,,
3-Bromo-1-propene,-1011,340.65,,,,,
Cyclopropane,-367,298.15,,,,,
Cyclopropane,-375,303.15,,,,,
Cyclopropane,-363.9,303.16,,,,,
Cyclopropane,-366.1,303.16,,,,,
Cyclopropane,-345,313.15,,,,,
Cyclopropane,-325,323.15,,,,,
Cyclopropane,-323.5,323.16,,,,,
Cyclopropane,-307,333.15,,,,,
Cyclopropane,-281.5,343.15,,,,,
Cyclopropane,-281.8,343.16,,,,,
Cyclopropane,-283,343.16,,,,,
Cyclopropane,-281.9,343.16,,,,,
Cyclopropane,-266,353.15,,,,,
Cyclopropane,-251.4,363.15,,,,,
Cyclopropane,-253.7,363.16,,,,,
Cyclopropane,-238.2,373.15,,,,,
Cyclopropane,-223.2,383.15,,,,,
Cyclopropane,-210.4,393.15,,,,,
Cyclopropane,-200.5,403.15,,,,,
Propene,-664.6,223.2,,,,,
Propene,-630.5,226.98,,,,,
Propene,-431.5,270,,,,,
Propene,-433.5,273.15,,,,,
Propene,-418.6,273.15,,,,,
Propene,-423.2,273.15,,,,,
Propene,-411.9,273.15,,,,,
Propene,-398,277.6,,,,,
Propene,-385.4,288.7,,,,,
Propene,-366.4,290,,,,,
Propene,-361.9,293.15,,,,,
Propene,-373.4,293.15,,,,,
Propene,-362.2,294.27,,,,,
Propene,-346.8,298.15,,,,,
Propene,-346.3,298.15,,,,,
Propene,-348.9,298.15,,,,,
Propene,-349.3,298.15,,,,,
Propene,-353,298.16,,,,,
Propene,-329,303.7,,,,,
Propene,-324.9,308.17,,,,,
Propene,-323,310,,,,,
Propene,-321.5,310.94,,,,,
Propene,-308,313.1,,,,,
Propene,-301.9,318.15,,,,,
Propene,-300.9,318.15,,,,,
Propene,-292.1,323.15,,,,,
Propene,-293,323.15,,,,,
Propene,-290.4,323.15,,,,,
Propene,-303,323.15,,,,,
Propene,-293.4,323.16,,,,,
Propene,-282,323.5,,,,,
Propene,-282.9,327.6,,,,,
Propene,-280,328.4,,,,,
Propene,-278.2,330,,,,,
Propene,-257,333.6,,,,,
Propene,-266,338.2,,,,,
Propene,-257.1,343.11,,,,,
Propene,-262,343.3,,,,,
Propene,-255.1,344.27,,,,,
Propene,-250.3,345,,,,,
Propene,-247.7,348.15,,,,,
Propene,-250,348.15,,,,,
Propene,-246.4,348.15,,,,,
Propene,-259.8,348.15,,,,,
Propene,-244.5,348.16,,,,,
Propene,-244,349.1,,,,,
Propene,-243,353.5,,,,,
Propene,-237.8,355.38,,,,,
Propene,-229.4,360.94,,,,,
Propene,-232,363.6,,,,,
Propene,-223,364.56,,,,,
Propene,-223,365.15,,,,,
Propene,-212.7,373.15,,,,,
Propene,-216,373.15,,,,,
Propene,-211.4,373.15,,,,,
Propene,-216.1,373.15,,,,,
Propene,-208.8,373.16,,,,,
Propene,-213,373.4,,,,,
Propene,-207.4,377.6,,,,,
Propene,-201.3,380.13,,,,,
Propene,-205,380.13,,,,,
Propene,-195,384.1,,,,,
Propene,-190.1,393.2,,,,,
Propene,-190.3,393.2,,,,,
Propene,-189.2,393.21,,,,,
Propene,-191,393.21,,,,,
Propene,-186,393.5,,,,,
Propene,-184.1,398.15,,,,,
Propene,-188,398.15,,,,,
Propene,-182.9,398.15,,,,,
Propene,-185.3,398.15,,,,,
Propene,-185.6,398.15,,,,,
Propene,-185.7,398.15,,,,,
Propene,-180.2,398.16,,,,,
Propene,-174,403.2,,,,,
Propene,-175.5,407.5,,,,,
Propene,-174.7,407.51,,,,,
Propene,-176.3,407.51,,,,,
Propene,-170.8,410.94,,,,,
Propene,-166,413.6,,,,,
Propene,-161.1,423,,,,,
Propene,-162.2,423,,,,,
Propene,-161.6,423.02,,,,,
Propene,-160.4,423.15,,,,,
Propene,-159.2,423.15,,,,,
Propene,-161.7,423.15,,,,,
Propene,-161.9,423.15,,,,,
Propene,-151,423.16,,,,,
Propene,-141.1,444.27,,,,,
Propene,-140.8,448.15,,,,,
Propene,-132.5,448.16,,,,,
Propene,-122.7,473.15,,,,,
Propene,-123.7,473.15,,,,,
Propene,-122.2,473.16,,,,,
Propene,-117.4,477.6,,,,,
Propene,-108.6,498.15,,,,,
Propene,-97.5,498.16,,,,,
Propene,-98.5,510.94,,,,,
Propene,-96.2,523.15,,,,,
Propene,-84.1,523.16,,,,,
Propene,-78.3,548.16,,,,,
Propene,-71.6,573.16,,,,,
"2,2-Dichloropropane",-1115,353.52,,,2-Dichloropropane;-1115;353.52,,
"2,2-Dichloropropane",-941,372.4,,,2-Dichloropropane;-941;372.4,,
"2,2-Dichloropropane",-798,401.11,,,2-Dichloropropane;-798;401.11,,
"2,2-Dichloropropane",-709,422.88,,,2-Dichloropropane;-709;422.88,,
Oxetane,-1430,271.5,,,,,
Oxetane,-1240,279.69,,,,,
Oxetane,-1170,285.86,,,,,
Oxetane,-1140,289.15,,,,,
Oxetane,-1030,298.15,,,,,
Oxetane,-990,302.13,,,,,
Oxetane,-880,312.7,,,,,
Oxetane,-830,320.74,,,,,
Oxetane,-750,332.93,,,,,
Oxetane,-700,342.24,,,,,
Propanone,-2111,295.15,,,,,
Propanone,-2030,300.4,,,,,
Propanone,-1796,304.64,,,,,
Propanone,-1575,313.15,,,,,
Propanone,-1690,313.2,,,,,
Propanone,-1580,317.9,,,,,
Propanone,-1535,323.15,,,,,
Propanone,-1439,323.15,,,,,
Propanone,-1375,323.15,,,,,
Propanone,-1439,323.16,,,,,
Propanone,-1439,323.16,,,,,
Propanone,-1378,326.02,,,,,
Propanone,-1368,326.66,,,,,
Propanone,-1370,329.3,,,,,
Propanone,-1370,333.15,,,,,
Propanone,-1263,333.2,,,,,
Propanone,-1281,333.2,,,,,
Propanone,-1200,337.15,,,,,
Propanone,-1230,337.3,,,,,
Propanone,-1200,343.15,,,,,
Propanone,-1136,343.2,,,,,
Propanone,-1130,345,,,,,
Propanone,-1057,350.12,,,,,
Propanone,-981,351.57,,,,,
Propanone,-1040,352.95,,,,,
Propanone,-1080,353.15,,,,,
Propanone,-1065,353.15,,,,,
Propanone,-1005,353.2,,,,,
Propanone,-1026,353.2,,,,,
Propanone,-1000,358.15,,,,,
Propanone,-1001,358.15,,,,,
Propanone,-920,363.2,,,,,
Propanone,-920,368.15,,,,,
Propanone,-872,370.06,,,,,
Propanone,-834,373.2,,,,,
Propanone,-849,373.2,,,,,
Propanone,-855,373.35,,,,,
Propanone,-808,377.05,,,,,
Propanone,-800,382.15,,,,,
Propanone,-769,383.2,,,,,
Propanone,-727,393.1,,,,,
Propanone,-719,393.2,,,,,
Propanone,-670,393.75,,,,,
Propanone,-700,398.15,,,,,
Propanone,-664,402.38,,,,,
Propanone,-671,403.2,,,,,
Propanone,-656,405.12,,,,,
Propanone,-641,405.2,,,,,
Propanone,-630,413.15,,,,,
Propanone,-620,413.2,,,,,
Propanone,-599,418,,,,,
Propanone,-572,423.2,,,,,
Propanone,-555,428.15,,,,,
Propanone,-495,430.35,,,,,
Propanone,-527,430.88,,,,,
Propanone,-558,433.1,,,,,
Propanone,-539,433.1,,,,,
Propanone,-455,453.15,,,,,
Propanone,-400,473.15,,,,,
Propanal,-2210,286.25,,,,,
Propanal,-1800,298.15,,,,,
Propanal,-1680,302.69,,,,,
Propanal,-1340,321.21,,,,,
Ethyl methanoate,-1090,323,,,,,
Ethyl methanoate,-1125,323.15,,,,,
Ethyl methanoate,-1000,329.8,,,,,
Ethyl methanoate,-960,333.2,,,,,
Ethyl methanoate,-930,337.7,,,,,
Ethyl methanoate,-875,344.2,,,,,
Ethyl methanoate,-875,348.15,,,,,
